TS_Machine,gsr
1555571161.348,2.179001
1555571161.598,2.175159
1555571161.848,2.168754
1555571162.098,2.170035
1555571162.348,2.16363
1555571162.598,2.161068
1555571162.848,2.162349
1555571163.098,2.157225
1555571163.348,2.15082
1555571163.598,2.153383
1555571163.848,2.158506
1555571164.098,2.157225
1555571164.348,2.158506
1555571164.598,2.161068
1555571164.848,2.164911
1555571165.098,2.164911
1555571165.348,2.161068
1555571165.598,2.161068
1555571165.848,2.157225
1555571166.098,2.143135
1555571166.348,2.14954
1555571166.598,2.14954
1555571166.848,2.144416
1555571167.098,2.139292
1555571167.348,2.138011
1555571167.598,2.135449
1555571167.848,2.134168
1555571168.098,2.129045
1555571168.348,2.127764
1555571168.598,2.127764
1555571168.848,2.123921
1555571169.098,2.118797
1555571169.348,2.12264
1555571169.598,2.123921
1555571169.848,2.121359
1555571170.098,2.116235
1555571170.348,2.116235
1555571170.598,2.116235
1555571170.848,2.10983
1555571171.098,2.114954
1555571171.348,2.111111
1555571171.598,2.102145
1555571171.848,2.104707
1555571172.098,2.104707
1555571172.348,2.103426
1555571172.598,2.094459
1555571172.848,2.093178
1555571173.098,2.093178
1555571173.348,2.09574
