TS_Machine,tmp
1555581806.03585,35.31
1555581806.28586,35.31
1555581806.53587,35.31
1555581806.78589,35.31
1555581807.0359,35.29
1555581807.28591,35.29
1555581807.53592,35.29
1555581807.78593,35.29
1555581808.03594,35.29
1555581808.28595,35.29
1555581808.53597,35.29
1555581808.78598,35.29
1555581809.03599,35.31
1555581809.286,35.31
1555581809.53601,35.31
1555581809.78602,35.31
1555581810.03604,35.31
1555581810.28605,35.31
1555581810.53606,35.31
1555581810.78607,35.31
1555581811.03608,35.27
1555581811.28609,35.27
1555581811.53611,35.27
1555581811.78612,35.27
1555581812.03613,35.29
1555581812.28614,35.29
1555581812.53615,35.29
1555581812.78616,35.29
1555581813.03618,35.29
1555581813.28619,35.29
1555581813.5362,35.29
1555581813.78621,35.29
1555581814.03622,35.29
1555581814.28623,35.29
1555581814.53624,35.29
1555581814.78626,35.29
1555581815.03627,35.29
1555581815.28628,35.29
1555581815.53629,35.29
1555581815.7863,35.29
1555581816.03631,35.29
1555581816.28633,35.29
1555581816.53634,35.29
1555581816.78635,35.29
1555581817.03636,35.29
1555581817.28637,35.29
1555581817.53638,35.29
1555581817.78639,35.29
1555581818.03641,35.29
1555581818.28642,35.29
1555581818.53643,35.29
1555581818.78644,35.29
1555581819.03645,35.27
1555581819.28646,35.27
1555581819.53648,35.27
1555581819.78649,35.27
1555581820.0365,35.29
1555581820.28651,35.29
1555581820.53652,35.29
1555581820.78653,35.29
1555581821.03655,35.27
1555581821.28656,35.27
1555581821.53657,35.27
1555581821.78658,35.27
1555581822.03659,35.29
1555581822.2866,35.29
1555581822.53661,35.29
1555581822.78663,35.29
1555581823.03664,35.29
1555581823.28665,35.29
1555581823.53666,35.29
1555581823.78667,35.29
1555581824.03668,35.29
1555581824.2867,35.29
1555581824.53671,35.29
1555581824.78672,35.29
1555581825.03673,35.29
1555581825.28674,35.29
1555581825.53675,35.29
1555581825.78677,35.29
1555581826.03678,35.29
1555581826.28679,35.29
1555581826.5368,35.29
1555581826.78681,35.29
1555581827.03682,35.29
1555581827.28683,35.29
1555581827.53685,35.29
1555581827.78686,35.29
1555581828.03687,35.29
1555581828.28688,35.29
1555581828.53689,35.29
1555581828.7869,35.29
1555581829.03692,35.27
1555581829.28693,35.27
1555581829.53694,35.27
1555581829.78695,35.27
1555581830.03696,35.27
1555581830.28697,35.27
1555581830.53699,35.27
1555581830.787,35.27
1555581831.03701,35.27
1555581831.28702,35.27
1555581831.53703,35.27
1555581831.78704,35.27
1555581832.03705,35.27
1555581832.28707,35.27
1555581832.53708,35.27
1555581832.78709,35.27
1555581833.0371,35.25
1555581833.28711,35.25
1555581833.53712,35.25
1555581833.78714,35.25
1555581834.03715,35.27
1555581834.28716,35.27
1555581834.53717,35.27
1555581834.78718,35.27
1555581835.03719,35.27
1555581835.28721,35.27
1555581835.53722,35.27
1555581835.78723,35.27
1555581836.03724,35.27
1555581836.28725,35.27
1555581836.53726,35.27
1555581836.78727,35.27
1555581837.03729,35.23
1555581837.2873,35.23
1555581837.53731,35.23
1555581837.78732,35.23
1555581838.03733,35.25
1555581838.28734,35.25
1555581838.53736,35.25
1555581838.78737,35.25
1555581839.03738,35.27
1555581839.28739,35.27
1555581839.5374,35.27
1555581839.78741,35.27
1555581840.03743,35.25
1555581840.28744,35.25
1555581840.53745,35.25
1555581840.78746,35.25
1555581841.03747,35.27
1555581841.28748,35.27
1555581841.53749,35.27
1555581841.78751,35.27
1555581842.03752,35.27
1555581842.28753,35.27
1555581842.53754,35.27
1555581842.78755,35.27
1555581843.03756,35.25
1555581843.28758,35.25
1555581843.53759,35.25
1555581843.7876,35.25
1555581844.03761,35.27
1555581844.28762,35.27
1555581844.53763,35.27
1555581844.78764,35.27
1555581845.03766,35.25
1555581845.28767,35.25
1555581845.53768,35.25
1555581845.78769,35.25
1555581846.0377,35.25
1555581846.28771,35.25
1555581846.53773,35.25
1555581846.78774,35.25
1555581847.03775,35.23
1555581847.28776,35.23
1555581847.53777,35.23
1555581847.78778,35.23
1555581848.0378,35.25
1555581848.28781,35.25
1555581848.53782,35.25
1555581848.78783,35.25
1555581849.03784,35.25
1555581849.28785,35.25
1555581849.53786,35.25
1555581849.78788,35.25
1555581850.03789,35.27
1555581850.2879,35.27
1555581850.53791,35.27
1555581850.78792,35.27
1555581851.03793,35.25
1555581851.28795,35.25
1555581851.53796,35.25
1555581851.78797,35.25
1555581852.03798,35.27
1555581852.28799,35.27
1555581852.538,35.27
1555581852.78802,35.27
1555581853.03803,35.27
1555581853.28804,35.27
1555581853.53805,35.27
1555581853.78806,35.27
1555581854.03807,35.25
1555581854.28808,35.25
1555581854.5381,35.25
1555581854.78811,35.25
1555581855.03812,35.27
1555581855.28813,35.27
1555581855.53814,35.27
1555581855.78815,35.27
1555581856.03817,35.25
1555581856.28818,35.25
1555581856.53819,35.25
1555581856.7882,35.25
1555581857.03821,35.27
1555581857.28822,35.27
1555581857.53824,35.27
1555581857.78825,35.27
1555581858.03826,35.27
1555581858.28827,35.27
1555581858.53828,35.27
1555581858.78829,35.27
1555581859.0383,35.25
1555581859.28832,35.25
1555581859.53833,35.25
1555581859.78834,35.25
1555581860.03835,35.27
1555581860.28836,35.27
1555581860.53837,35.27
1555581860.78839,35.27
1555581861.0384,35.25
1555581861.28841,35.25
1555581861.53842,35.25
1555581861.78843,35.25
1555581862.03844,35.25
1555581862.28846,35.25
1555581862.53847,35.25
1555581862.78848,35.25
1555581863.03849,35.25
1555581863.2885,35.25
1555581863.53851,35.25
1555581863.78852,35.25
1555581864.03854,35.27
1555581864.28855,35.27
1555581864.53856,35.27
1555581864.78857,35.27
1555581865.03858,35.27
1555581865.28859,35.27
1555581865.53861,35.27
1555581865.78862,35.27
1555581866.03863,35.27
1555581866.28864,35.27
1555581866.53865,35.27
1555581866.78866,35.27
1555581867.03868,35.27
1555581867.28869,35.27
1555581867.5387,35.27
1555581867.78871,35.27
1555581868.03872,35.27
1555581868.28873,35.27
1555581868.53874,35.27
1555581868.78876,35.27
1555581869.03877,35.27
1555581869.28878,35.27
1555581869.53879,35.27
1555581869.7888,35.27
1555581870.03881,35.27
1555581870.28883,35.27
1555581870.53884,35.27
